HGNC,ENTREZ_ID,OMIM_ID,ENSEMBL_ID,ENSP,ASD
ARF5,381,103188,ENSG00000004059,ENSP00000000233,0
M6PR,4074,154540,ENSG00000003056,ENSP00000000412,0
FKBP4,2288,600611,ENSG00000004478,ENSP00000001008,0
CYP26B1,56603,605207,ENSG00000003137,ENSP00000001146,0
NDUFAF7,55471,615898,ENSG00000003509,ENSP00000002125,0
FUCA2,2519,136820,ENSG00000001036,ENSP00000002165,0
HS3ST1,9957,603244,ENSG00000002587,ENSP00000002596,0
SEMA3F,6405,601124,ENSG00000001617,ENSP00000002829,1
CFTR,1080,602421,ENSG00000001626,ENSP00000003084,0
CYP51A1,1595,601637,ENSG00000001630,ENSP00000003100,0
USP28,57646,610748,ENSG00000048028,ENSP00000003302,0
SLC7A2,6542,601872,ENSG00000003989,ENSP00000004531,0
PDK4,5166,602527,ENSG00000004799,ENSP00000005178,0
USH1C,10083,605242,ENSG00000006611,ENSP00000005226,0
RALA,5898,179550,ENSG00000006451,ENSP00000005257,1
BAIAP2L1,55971,611877,ENSG00000006453,ENSP00000005260,0
CACNG3,10368,606403,ENSG00000006116,ENSP00000005284,0
TMEM132A,54972,617363,ENSG00000006118,ENSP00000005286,0
DVL2,1856,602151,ENSG00000004975,ENSP00000005340,0
RPAP3,79657,611477,ENSG00000005175,ENSP00000005386,0
SKAP2,8935,605215,ENSG00000005020,ENSP00000005587,0
PRSS21,10942,608159,ENSG00000007038,ENSP00000005995,0
HOXA11,3207,142958,ENSG00000005073,ENSP00000006015,0
CX3CL1,6376,601880,ENSG00000006210,ENSP00000006053,0
TRAPPC6A,79090,610396,ENSG00000007255,ENSP00000006275,0
SPATA20,64847,613939,ENSG00000006282,ENSP00000006658,0
RHBDD2,57414,615203,ENSG00000005486,ENSP00000006777,0
TSR3,115939,617058,ENSG00000007520,ENSP00000007390,0
OSBPL7,114881,606735,ENSG00000006025,ENSP00000007414,0
YBX2,51087,611447,ENSG00000006047,ENSP00000007699,0
ITGA3,3675,605025,ENSG00000005884,ENSP00000007722,0
KRT33A,3883,602761,ENSG00000006059,ENSP00000007735,0
TFAP2D,83741,610161,ENSG00000008197,ENSP00000008391,0
CRY1,1407,601933,ENSG00000008405,ENSP00000008527,0
PGLYRP1,8993,604963,ENSG00000008438,ENSP00000008938,0
STARD3NL,83930,611759,ENSG00000010270,ENSP00000009041,0
CAMK1G,57172,614994,ENSG00000008118,ENSP00000009105,0
CD74,972,142790,ENSG00000019582,ENSP00000009530,0
CPA1,1357,114850,ENSG00000091704,ENSP00000011292,0
SYPL1,6856,616665,ENSG00000008282,ENSP00000011473,0
RANBP9,10048,603854,ENSG00000010017,ENSP00000011619,0
CD4,920,186940,ENSG00000010610,ENSP00000011653,0
TSPAN9,10867,613137,ENSG00000011105,ENSP00000011898,0
PPP5C,5536,600658,ENSG00000011485,ENSP00000012443,0
UBR7,55148,613816,ENSG00000012963,ENSP00000013070,1
MAP4K5,11183,604923,ENSG00000012983,ENSP00000013125,0
INMT,11185,604854,ENSG00000241644,ENSP00000013222,0
ERCC1,2067,126380,ENSG00000012061,ENSP00000013807,0
GPRC5A,9052,604138,ENSG00000013588,ENSP00000014914,0
HEBP1,50865,605826,ENSG00000013583,ENSP00000014930,0
COX15,1355,603646,ENSG00000014919,ENSP00000016171,0
MS4A12,54860,606550,ENSG00000071203,ENSP00000016913,0
